cv_id	glytoucan_ac	pubchem_ac
56927890	G69188UM	56927890
56927913	G63035DM	56927913
56927921	G86385RC	56927921
56927981	G80016QC	56927981
56955905	G02729OV	56955905
56968990	G34748JC	56968990
56969449	G26983UO	56969449
56992651	G35446HX	56992651
57045116	G54062JB	57045116
57339194	G48898TH	57339194
57339202	G02747VH	57339202
57339247	G26934CO	57339247
57344538	G16348WN	57344538
57473720	G39346UP	57473720
5779	G31080DL	5779
5793	G15021LG	5793
6027	G03144EF	6027
6036	G68158BT	6036
6102353	G33546ZK	6102353
6102790	G25481SL	6102790
6134	G84224TW	6134
6321330	G48232PN	6321330
6323336	G80636BF	6323336
6323504	G74861PZ	6323504
6325432	G93931KM	6325432
6326183	G28148HG	6326183
639461	G55914PY	639461
641630	G27459WV	641630
641631	G21112ZO	641631
642638	G10688BO	642638
643995	G87492XO	643995
644160	G01550VL	644160
644170	G74060NY	644170
644176	G95233PP	644176
6454902	G44856HU	6454902
64689	G71142DF	64689
6540298	G00395FS	6540298
65550	G88438YV	65550
6560213	G10338IN	6560213
656504	G40748TG	656504
656944	G79333MY	656944
6602503	G54976AD	6602503
66308	G16391NR	66308
66574951	G97222OW	66574951
66574984	G43686JS	66574984
66574985	G64500KY	66574985
67350816	G02252NT	67350816
67375559	G23467VT	67375559
67610356	G38478SQ	67610356
67702969	G09507TI	67702969
67743883	G61055FR	67743883
67810472	G50190XI	67810472
68544316	G47100PE	68544316
6857376	G93818VU	6857376
6857384	G64007OP	6857384
6857717	G50487YA	6857717
68812359	G56670LK	68812359
6902	G91625IP	6902
69116425	G18982ND	69116425
69164048	G78600GX	69164048
6918014	G48646LG	6918014
69617265	G36926YT	69617265
69620814	G71587NH	69620814
6971003	G15768VA	6971003
6971004	G69976ZM	6971004
6971005	G40725TK	6971005
6971007	G76622SI	6971007
6971016	G30086RR	6971016
6971096	G24741VO	6971096
6971097	G76262KF	6971097
6971098	G62164YY	6971098
69903934	G12885FH	69903934
69905492	G71689LT	69905492
6992018	G72539IR	6992018
6992021	G24050VV	6992021
6992084	G59396XU	6992084
70094729	G73728WQ	70094729
7018164	G96584NP	7018164
7019000	G64224MK	7019000
7043897	G92851LM	7043897
7044038	G63875KV	7044038
7044039	G81394BJ	7044039
7048819	G44396YZ	7048819
7059433	G56095AU	7059433
70678533	G97423JA	70678533
70678538	G47876BP	70678538
70678540	G20228HQ	70678540
70678556	G39269SV	70678556
70678613	G62117RR	70678613
70678640	G25615CH	70678640
70678645	G00050MO	70678645
70678649	G18859KD	70678649
70678651	G44411RJ	70678651
70678661	G97763JB	70678661
70678663	G05908GN	70678663
70678668	G84693CG	70678668
70678669	G04497XO	70678669
70678687	G38121JC	70678687
70678696	G91768NO	70678696
70678698	G51176DS	70678698
70678711	G42236WQ	70678711
70678718	G71121NN	70678718
70678723	G26555CS	70678723
70678726	G67646HL	70678726
70678735	G50645ZL	70678735
